Date,Time,date_time,visibility,sea_level_pressure,relative_humidity,wind_speed,,air_temp,wind_direction
,,,Statute miles,Millibars,%,Miles/hour,Millibars,Fahrenheit,Degrees
12/31/19,11:52PM,12/31/19-11:52PM,10,1015.2,25.84,0,1015.05,73.04,0
12/31/19,10:52PM,12/31/19-10:52PM,10,1014.8,23.88,0,1014.72,73.04,0
12/31/19,09:52PM,12/31/19-09:52PM,10,1015,23.88,0,1015.05,73.04,0
12/31/19,08:52PM,12/31/19-08:52PM,10,1015,27.63,0,1015.08,71.06,0
12/31/19,07:52PM,12/31/19-07:52PM,10,1015.5,24.77,3.44,1015.41,71.96,280
12/31/19,06:52PM,12/31/19-06:52PM,10,1016.5,26.49,0,1016.45,69.98,0
12/31/19,05:52PM,12/31/19-05:52PM,10,1016.8,30.35,0,1016.83,66.02,0
12/31/19,04:52PM,12/31/19-04:52PM,10,1016.2,47.41,0,1016.24,59,0
12/31/19,03:52PM,12/31/19-03:52PM,10,1015.3,58.63,0,1015.66,51.98,0
12/31/19,02:52PM,12/31/19-02:52PM,10,1014.8,63.08,0,1015,50,0
12/31/19,01:52PM,12/31/19-01:52PM,10,1014.5,63.08,0,1014.67,50,0
12/31/19,12:52PM,12/31/19-12:52PM,10,1014.3,63.23,3.44,1014.65,51.08,260
12/31/19,11:52AM,12/31/19-11:52AM,10,1014.2,65.81,0,1014.33,50,0
12/31/19,10:52AM,12/31/19-10:52AM,10,1014.7,65.81,0,1015,50,0
12/31/19,09:52AM,12/31/19-09:52AM,10,1014.5,58.63,0,1014.64,51.98,0
12/31/19,08:52AM,12/31/19-08:52AM,10,1014.4,58.78,0,1014.63,53.06,0
12/31/19,07:52AM,12/31/19-07:52AM,10,1014.9,56.88,0,1014.95,53.96,0
12/31/19,06:52AM,12/31/19-06:52AM,10,1015,48.97,0,1015.27,55.94,0
12/31/19,05:52AM,12/31/19-05:52AM,10,1014.8,48.79,0,1014.91,57.02,0
12/31/19,04:52AM,12/31/19-04:52AM,10,1014.6,48.97,0,1014.59,55.94,0
12/31/19,03:52AM,12/31/19-03:52AM,10,1014.1,48.97,0,1014.25,55.94,0
12/31/19,02:52AM,12/31/19-02:52AM,10,1014,43.69,0,1014.22,57.92,0
12/31/19,01:52AM,12/31/19-01:52AM,10,1014.2,40.45,0,1014.2,60.08,0
12/31/19,12:52AM,12/31/19-12:52AM,10,1014,33.77,3.44,1014.16,62.96,260
12/30/19,11:52PM,12/30/19-11:52PM,10,1013.8,31.51,0,1013.8,64.94,0
12/30/19,10:52PM,12/30/19-10:52PM,10,1013.5,30.39,3.44,1013.46,64.94,250
12/30/19,09:52PM,12/30/19-09:52PM,10,1013.7,32.51,0,1013.81,64.04,0
12/30/19,08:52PM,12/30/19-08:52PM,10,1013.9,36.39,3.44,1013.83,62.06,260
12/30/19,07:52PM,12/30/19-07:52PM,10,1014.7,36.39,0,1014.85,62.06,0
12/30/19,06:52PM,12/30/19-06:52PM,10,1015.8,36.21,4.61,1015.88,60.98,20
12/30/19,05:52PM,12/30/19-05:52PM,10,1016.5,37.38,3.44,1016.57,60.08,
12/30/19,04:52PM,12/30/19-04:52PM,10,1016.4,38.95,3.44,1016.6,57.92,
12/30/19,03:52PM,12/30/19-03:52PM,10,1016,41.71,3.44,1016.27,57.02,
12/30/19,02:52PM,12/30/19-02:52PM,10,1015.4,41.71,4.61,1015.59,57.02,
12/30/19,01:52PM,12/30/19-01:52PM,10,1015.3,40.05,4.61,1015.27,55.94,70
12/30/19,12:52PM,12/30/19-12:52PM,10,1015.4,43.36,5.75,1015.6,55.94,60
12/30/19,11:52AM,12/30/19-11:52AM,10,1015.6,46.92,5.75,1015.6,55.94,70
12/30/19,10:52AM,12/30/19-10:52AM,10,1016.2,59.6,4.61,1016.28,55.94,60
12/30/19,09:52AM,12/30/19-09:52AM,10,1016.7,66.54,3.44,1016.62,55.94,
12/30/19,08:52AM,12/30/19-08:52AM,10,1016.7,69.32,0,1016.96,55.94,0
12/30/19,07:52AM,12/30/19-07:52AM,9,1017.3,76.99,0,1017.33,53.06,0
12/30/19,06:52AM,12/30/19-06:52AM,10,1017.9,74.5,0,1018,53.96,0
12/30/19,05:52AM,12/30/19-05:52AM,10,1017.9,71.62,0,1017.99,55.04,0
12/30/19,04:52AM,12/30/19-04:52AM,10,1018.1,71.62,0,1018.32,55.04,0
12/30/19,03:52AM,12/30/19-03:52AM,10,1018,69.32,0,1017.97,55.94,0
12/30/19,02:52AM,12/30/19-02:52AM,10,1018.1,66.54,0,1018.31,55.94,0
12/30/19,01:52AM,12/30/19-01:52AM,10,1018.9,62.1,0,1018.95,59,0
12/30/19,12:52AM,12/30/19-12:52AM,10,1019.2,55.42,3.44,1019.28,60.08,260
12/29/19,11:52PM,12/29/19-11:52PM,10,1019.1,53.68,0,1019.27,60.98,0
12/29/19,10:52PM,12/29/19-10:52PM,10,1019.3,47.9,0,1019.25,62.06,0
12/29/19,09:52PM,12/29/19-09:52PM,10,1019.6,47.9,0,1019.59,62.06,0
12/29/19,08:52PM,12/29/19-08:52PM,10,1020.4,47.72,0,1020.28,60.98,0
12/29/19,07:52PM,12/29/19-07:52PM,10,1021.4,45.62,0,1021.31,60.08,0
12/29/19,06:52PM,12/29/19-06:52PM,10,1022.6,45.45,3.44,1022.68,59,
12/29/19,05:52PM,12/29/19-05:52PM,10,1023.2,52.42,5.75,1023.4,55.04,50
12/29/19,04:52PM,12/29/19-04:52PM,10,1022.8,54.52,0,1023.08,53.96,0
12/29/19,03:52PM,12/29/19-03:52PM,10,1022.5,73.39,0,1022.48,48.02,0
12/29/19,02:52PM,12/29/19-02:52PM,10,1022.3,73.39,0,1022.48,48.02,0
12/29/19,01:52PM,12/29/19-01:52PM,10,1021.8,76.43,0,1021.82,46.94,0
12/29/19,12:52PM,12/29/19-12:52PM,10,1021.6,73.39,3.44,1021.8,48.02,360
12/29/19,11:52AM,12/29/19-11:52AM,10,1021.5,76.53,0,1021.8,48.02,0
12/29/19,10:52AM,12/29/19-10:52AM,9,1021.5,76.71,3.44,1021.78,50,20
12/29/19,09:52AM,12/29/19-09:52AM,8,1021.2,83.23,0,1021.45,48.92,0
12/29/19,08:52AM,12/29/19-08:52AM,8,1021,79.95,0,1021.1,50,0
12/29/19,07:52AM,12/29/19-07:52AM,9,1021,82.82,0,1021.09,51.08,0
12/29/19,06:52AM,12/29/19-06:52AM,10,1021.2,79.49,0,1021.42,51.08,0
12/29/19,05:52AM,12/29/19-05:52AM,10,1020.7,76.99,0,1020.72,53.06,0
12/29/19,04:52AM,12/29/19-04:52AM,10,1020.1,74.5,0,1020.37,53.96,0
12/29/19,03:52AM,12/29/19-03:52AM,10,1019.5,77.07,0,1019.69,53.96,0
12/29/19,02:52AM,12/29/19-02:52AM,10,1018.9,69.32,0,1018.99,55.94,0
12/29/19,01:52AM,12/29/19-01:52AM,10,1018.5,66.78,0,1018.63,57.92,0
12/29/19,01:08AM,12/29/19-01:08AM,10,,61.82,0,1018.26,60.08,0
12/29/19,01:04AM,12/29/19-01:04AM,10,,61.82,0,1018.26,60.08,0
12/29/19,12:52AM,12/29/19-12:52AM,10,1018.3,61.82,0,1018.26,60.08,0
12/28/19,11:52PM,12/28/19-11:52PM,10,1017.4,50.06,0,1017.55,62.96,0
12/28/19,10:52PM,12/28/19-10:52PM,10,1017.2,46.25,0,1017.2,64.04,0
12/28/19,09:52PM,12/28/19-09:52PM,10,1017.3,50.06,0,1017.21,62.96,0
12/28/19,08:52PM,12/28/19-08:52PM,10,1017.7,49.58,0,1017.9,62.06,0
12/28/19,07:52PM,12/28/19-07:52PM,10,1018.6,51.51,3.44,1018.59,60.98,
12/28/19,06:52PM,12/28/19-06:52PM,10,1019.4,51.21,0,1019.63,59,0
12/28/19,06:22PM,12/28/19-06:22PM,10,,49.28,4.61,1019.98,57.92,
12/28/19,05:52PM,12/28/19-05:52PM,10,1020.1,45.13,0,1020.33,57.02,0
12/28/19,04:52PM,12/28/19-04:52PM,10,1019.7,54.38,0,1020.04,53.06,0
12/28/19,03:52PM,12/28/19-03:52PM,,1019.3,56.14,0,1019.42,48.92,0
12/28/19,02:52PM,12/28/19-02:52PM,,1018.9,60.34,0,1019.12,46.04,0
12/28/19,01:52PM,12/28/19-01:52PM,10,1018.4,65.31,0,1018.44,46.04,0
12/28/19,12:52PM,12/28/19-12:52PM,10,1017.8,62.55,0,1017.77,46.04,0
12/28/19,11:52AM,12/28/19-11:52AM,10,1017.9,60.61,0,1018.08,48.02,0
12/28/19,10:52AM,12/28/19-10:52AM,10,1017.7,65.31,0,1017.77,46.04,0
12/28/19,09:52AM,12/28/19-09:52AM,10,1017.1,56.14,0,1017.39,48.92,0
12/28/19,08:52AM,12/28/19-08:52AM,10,1016.9,53.92,3.44,1017.04,50,20
12/28/19,07:52AM,12/28/19-07:52AM,10,1016.7,56.3,0,1017.04,50,0
12/28/19,06:52AM,12/28/19-06:52AM,10,1016.4,50.11,0,1016.67,51.98,0
12/28/19,05:52AM,12/28/19-05:52AM,10,1015.9,52.11,0,1015.98,53.06,0
12/28/19,04:52AM,12/28/19-04:52AM,10,1015.7,54.52,3.44,1015.97,53.96,10
12/28/19,03:52AM,12/28/19-03:52AM,10,1015.2,54.68,3.44,1015.28,55.04,
